,el,er,ia,sr
244,3.0,-2.0,2.0,0.0
245,2.0,10.0,0.0,0.0
246,1.0,10.0,0.0,0.0
247,3.0,6.0,2.0,0.0
248,1.0,10.0,0.0,0.0
249,2.0,0.0,1.0,0.0
250,1.0,10.0,0.0,0.0
251,5.0,-6.0,4.0,0.0
252,1.0,10.0,0.0,0.0
253,2.0,0.0,1.0,0.0
254,3.0,-2.0,2.0,0.0
255,3.0,-2.0,2.0,0.0
256,2.0,0.0,1.0,0.0
257,1.0,10.0,0.0,0.0
258,1.0,10.0,0.0,0.0
259,2.0,8.0,1.0,0.0
260,1.0,10.0,0.0,0.0
261,5.0,-4.0,3.0,0.0
262,2.0,8.0,1.0,0.0
263,1.0,10.0,0.0,0.0
264,2.0,0.0,1.0,0.0
265,4.0,-4.0,3.0,0.0
266,1.0,10.0,0.0,0.0
267,2.0,8.0,1.0,0.0
268,1.0,10.0,0.0,0.0
269,1.0,10.0,0.0,0.0
270,4.0,-2.0,2.0,0.0
271,3.0,8.0,1.0,0.0
272,2.0,8.0,1.0,0.0
273,2.0,0.0,1.0,0.0
274,1.0,10.0,0.0,0.0
275,2.0,8.0,1.0,0.0
276,1.0,10.0,0.0,0.0
277,1.0,10.0,0.0,0.0
278,1.0,10.0,0.0,0.0
279,3.0,-2.0,2.0,0.0
280,1.0,10.0,0.0,0.0
281,1.0,10.0,0.0,0.0
282,1.0,10.0,0.0,0.0
283,1.0,10.0,0.0,0.0
284,3.0,8.0,1.0,0.0
285,1.0,10.0,0.0,0.0
286,3.0,8.0,1.0,0.0
287,2.0,8.0,1.0,0.0
288,2.0,8.0,1.0,0.0
289,1.0,10.0,0.0,0.0
290,1.0,10.0,0.0,0.0
291,2.0,8.0,1.0,0.0
292,11.0,-16.0,8.0,0.0
293,2.0,8.0,1.0,0.0
294,4.0,-4.0,3.0,0.0
295,1.0,10.0,0.0,0.0
296,11.0,-32.0,8.0,0.0
297,2.0,0.0,1.0,0.0
298,1.0,10.0,0.0,0.0
299,3.0,-2.0,2.0,0.0
300,1.0,10.0,0.0,0.0
301,1.0,10.0,0.0,0.0
302,1.0,10.0,0.0,0.0
303,3.0,-2.0,2.0,0.0
304,11.0,-28.0,6.0,0.0
305,11.0,-10.0,5.0,0.0
306,2.0,8.0,1.0,0.0
307,2.0,8.0,1.0,0.0
308,2.0,8.0,1.0,0.0
309,3.0,-2.0,2.0,0.0
310,1.0,10.0,0.0,0.0
311,11.0,-18.0,9.0,0.0
312,3.0,6.0,2.0,0.0
313,1.0,10.0,0.0,0.0
314,2.0,8.0,1.0,0.0
315,6.0,-12.0,3.0,0.0
316,1.0,10.0,0.0,0.0
