,Unnamed: 0,ct,el,er,t
660,660.0,0.0,5.0,10.0,55366.8238325119
661,661.0,0.0,9.0,10.0,55469.168595314026
662,662.0,0.0,11.0,0.0,55606.83817625046
663,663.0,0.0,5.0,10.0,55668.83411788941
664,664.0,0.0,5.0,10.0,55722.612198352814
665,665.0,0.0,6.0,10.0,55799.67270851135
666,666.0,0.0,6.0,10.0,55865.40978837013
667,667.0,0.0,11.0,0.0,55998.96717953682
668,668.0,0.0,6.0,10.0,56065.91291642189
669,669.0,0.0,11.0,0.0,56190.92970490456
670,670.0,0.0,2.0,10.0,56216.74307537079
671,671.0,0.0,11.0,0.0,56340.11263847351
672,672.0,0.0,11.0,0.0,56473.9341070652
673,673.0,0.0,11.0,0.0,56600.39991760254
674,674.0,0.0,5.0,10.0,56653.49904131889
675,675.0,0.0,8.0,10.0,56746.79045510292
676,676.0,0.0,8.0,10.0,56848.71994638443
677,677.0,0.0,11.0,0.0,56979.379828214645
678,678.0,0.0,7.0,10.0,57056.896920681
679,679.0,0.0,8.0,10.0,57146.12743258476
680,680.0,0.0,5.0,10.0,57199.12883830071
681,681.0,0.0,11.0,0.0,57332.65497279167
682,682.0,0.0,10.0,10.0,57444.19597053528
683,683.0,0.0,1.0,10.0,57455.77881503105
684,684.0,0.0,1.0,10.0,57464.48957681656
685,685.0,0.0,4.0,10.0,57508.41189408302
686,686.0,0.0,10.0,10.0,57625.97336506844
687,,0.0,0.0,0.0,3.1941943168640137
688,,0.0,0.0,0.0,3.7856080532073975
689,,0.0,3.0,10.0,36.315099000930786
690,,0.0,3.0,10.0,72.66892743110657
691,,0.0,8.0,10.0,164.32506251335144
692,,0.0,2.0,10.0,185.65318131446838
693,,0.0,7.0,10.0,268.4086675643921
694,,0.0,2.0,10.0,289.09107422828674
695,,0.0,7.0,10.0,369.97866702079773
696,,0.0,11.0,0.0,498.7292604446411
697,,0.0,11.0,0.0,630.9685106277466
698,,0.0,11.0,0.0,759.1341125965118
699,,0.0,3.0,10.0,794.9272022247314
700,,0.0,11.0,0.0,923.2545824050903
701,,0.0,5.0,10.0,986.3479669094086
702,,0.0,5.0,10.0,1047.8116245269775
703,,0.0,11.0,0.0,1180.8073320388794
704,,0.0,8.0,10.0,1272.8876159191132
705,,0.0,9.0,10.0,1378.35826587677
706,,0.0,3.0,10.0,1410.1575667858124
707,,0.0,7.0,10.0,1492.4514274597168
708,,0.0,11.0,0.0,1621.5124974250793
709,,0.0,8.0,10.0,1722.0322902202606
710,,0.0,11.0,0.0,1863.6834902763367
711,,0.0,11.0,0.0,1992.7642993927002
712,,0.0,4.0,10.0,2036.9382824897766
713,,0.0,6.0,10.0,2105.8100728988647
714,,0.0,3.0,10.0,2140.6268842220306
715,,0.0,11.0,0.0,2279.3030681610107
716,,0.0,11.0,0.0,2410.7559287548065
717,,0.0,9.0,10.0,2515.830299139023
718,,0.0,9.0,10.0,2621.1429510116577
719,,0.0,11.0,0.0,2750.3868017196655
720,,0.0,6.0,10.0,2820.4479084014893
721,,0.0,11.0,0.0,2949.994358778
722,,0.0,11.0,0.0,3076.776360988617
723,,0.0,11.0,0.0,3209.9276196956635
724,,0.0,5.0,10.0,3269.4700553417206
725,,0.0,2.0,10.0,3292.7712008953094
726,,0.0,6.0,10.0,3363.9357511997223
727,,0.0,8.0,10.0,3456.6828804016113
728,,0.0,1.0,10.0,3468.4496669769287
729,,0.0,11.0,0.0,3612.396023273468
730,,0.0,1.0,10.0,3624.126410007477
731,,0.0,11.0,0.0,3754.6560456752777
732,,0.0,6.0,10.0,3822.7636313438416
733,,0.0,5.0,10.0,3875.7202746868134
734,,0.0,11.0,0.0,4005.7235612869263
735,,0.0,6.0,10.0,4075.655417919159
736,,0.0,10.0,10.0,4190.009313583374
737,,0.0,1.0,10.0,4198.926615953445
738,,0.0,10.0,10.0,4323.182371139526
739,,0.0,5.0,10.0,4381.35892701149
740,,0.0,2.0,10.0,4404.665361166
741,,0.0,11.0,0.0,4534.994133472443
742,,0.0,4.0,10.0,4581.17414188385
743,,0.0,11.0,10.0,4710.597853183746
744,,0.0,7.0,10.0,4790.229336500168
745,,0.0,3.0,10.0,4825.838493585587
746,,0.0,6.0,10.0,4897.088170528412
747,,0.0,6.0,10.0,4967.750549077988
748,,0.0,2.0,10.0,4990.123888254166
749,,0.0,7.0,10.0,5073.108644962311
750,,0.0,11.0,0.0,5209.08034825325
751,,0.0,4.0,10.0,5252.744891881943
752,,0.0,2.0,10.0,5272.0146651268005
753,,0.0,9.0,10.0,5375.624288082123
754,,0.0,11.0,0.0,5507.243480682373
755,,0.0,6.0,10.0,5574.984505414963
756,,0.0,3.0,10.0,5607.738342523575
757,,0.0,9.0,10.0,5709.701821088791
758,,0.0,3.0,10.0,5741.778380155563
759,,0.0,2.0,10.0,5761.700337171555
760,,0.0,8.0,10.0,5854.823943138123
761,,0.0,8.0,10.0,5947.354821205139
762,,0.0,11.0,0.0,6091.796805381775
763,,0.0,8.0,10.0,6180.515191793442
764,,0.0,11.0,0.0,6311.858132839203
765,,0.0,5.0,10.0,6369.418833255768
766,,0.0,4.0,10.0,6414.925318956375
767,,0.0,1.0,10.0,6422.9724543094635
768,,0.0,4.0,10.0,6467.5306985378265
769,,0.0,7.0,10.0,6545.398779392242
770,,0.0,1.0,10.0,6555.515168190002
771,,0.0,11.0,0.0,6687.486118555069
772,,0.0,7.0,10.0,6768.543934583664
773,,0.0,7.0,10.0,6850.946659564972
774,,0.0,7.0,10.0,6938.956805467606
775,,0.0,2.0,10.0,6961.684735774994
776,,0.0,6.0,10.0,7030.544773101807
777,,0.0,5.0,10.0,7092.116178512573
778,,0.0,4.0,10.0,7135.185062885284
779,,0.0,11.0,10.0,7261.623504400253
780,,0.0,11.0,0.0,7390.349580526352
781,,0.0,11.0,0.0,7519.238471746445
782,,0.0,6.0,10.0,7591.554061889648
783,,0.0,11.0,0.0,7721.578825235367
784,,0.0,6.0,10.0,7791.303439617157
785,,0.0,8.0,10.0,7884.173798322678
786,,0.0,7.0,10.0,7961.532159090042
787,,0.0,11.0,10.0,8086.083961009979
788,,0.0,7.0,10.0,8171.373016119003
789,,0.0,4.0,10.0,8216.221107006073
790,,0.0,5.0,10.0,8273.61904835701
791,,0.0,11.0,0.0,8401.445469617844
792,,0.0,11.0,0.0,8530.235763311386
793,,0.0,9.0,10.0,8631.016625404358
794,,0.0,10.0,10.0,8748.197072029114
795,,0.0,1.0,10.0,8758.773841381073
796,,0.0,3.0,10.0,8793.60736823082
797,,0.0,8.0,10.0,8886.434801578522
798,,0.0,3.0,10.0,8917.672413110733
799,,0.0,6.0,10.0,8983.2786962986
800,,0.0,11.0,0.0,9113.143212556839
801,,0.0,5.0,10.0,9166.571328401566
802,,0.0,3.0,10.0,9203.53161406517
803,,0.0,6.0,10.0,9274.562546730042
804,,0.0,6.0,10.0,9341.478363275528
805,,0.0,4.0,10.0,9386.446954488754
806,,0.0,11.0,0.0,9515.37010383606
807,,0.0,8.0,10.0,9604.668414115906
808,,0.0,11.0,0.0,9735.462820529938
809,,0.0,9.0,10.0,9841.897902965546
810,,0.0,11.0,0.0,9985.587891340256
811,,0.0,8.0,10.0,10079.531336784363
812,,0.0,4.0,10.0,10125.914860010147
813,,0.0,1.0,10.0,10136.54281258583
814,,0.0,6.0,10.0,10203.61284828186
815,,0.0,11.0,0.0,10333.220587015152
816,,0.0,10.0,10.0,10446.267960309982
817,,0.0,2.0,10.0,10467.044591665268
818,,0.0,11.0,0.0,10602.796310901642
819,,0.0,11.0,0.0,10730.63207912445
820,,0.0,11.0,0.0,10866.782101631165
821,,0.0,2.0,10.0,10886.452491998672
822,,0.0,2.0,10.0,10907.473876714706
823,,0.0,2.0,10.0,10928.476025342941
824,,0.0,5.0,10.0,10983.075936794281
825,,0.0,4.0,10.0,11028.8236618042
826,,0.0,4.0,10.0,11069.858086824417
827,,0.0,2.0,10.0,11091.699430704117
828,,0.0,5.0,10.0,11147.003348588943
829,,0.0,3.0,10.0,11181.82166814804
830,,0.0,6.0,10.0,11254.52569937706
831,,0.0,9.0,10.0,11357.297809123993
832,,0.0,2.0,10.0,11375.25025677681
833,,0.0,11.0,0.0,11503.00907087326
834,,0.0,3.0,10.0,11536.108569145203
835,,0.0,11.0,0.0,11668.523243427277
836,,0.0,11.0,10.0,11796.567191362381
837,,0.0,2.0,10.0,11815.929310321808
838,,0.0,5.0,10.0,11870.624329566956
839,,0.0,3.0,10.0,11903.743002176285
840,,0.0,4.0,10.0,11948.986186504364
841,,0.0,7.0,10.0,12030.200189352036
842,,0.0,11.0,0.0,12166.003305196762
843,,0.0,7.0,10.0,12243.80667591095
844,,0.0,8.0,10.0,12331.432403087616
845,,0.0,5.0,10.0,12386.722053289413
846,,0.0,11.0,0.0,12520.447041988373
847,,0.0,11.0,0.0,12648.090053796768
