,el,er,ia,sr
419,11.0,-22.0,11.0,0.0
420,11.0,-22.0,11.0,0.0
421,11.0,-30.0,11.0,0.0
422,11.0,-22.0,11.0,0.0
423,11.0,-22.0,11.0,0.0
424,11.0,-22.0,11.0,0.0
425,11.0,-22.0,11.0,0.0
426,11.0,-22.0,11.0,0.0
427,11.0,-22.0,11.0,0.0
428,11.0,-22.0,11.0,0.0
429,11.0,-22.0,11.0,0.0
430,11.0,-22.0,11.0,0.0
431,11.0,-22.0,11.0,0.0
432,11.0,-22.0,11.0,0.0
433,11.0,-22.0,11.0,0.0
434,11.0,-22.0,11.0,0.0
435,11.0,-22.0,11.0,0.0
436,11.0,-22.0,11.0,0.0
437,11.0,-22.0,11.0,0.0
438,11.0,-22.0,11.0,0.0
439,11.0,-22.0,11.0,0.0
440,11.0,-22.0,11.0,0.0
441,11.0,-22.0,11.0,0.0
442,11.0,-22.0,11.0,0.0
443,11.0,-22.0,11.0,0.0
444,11.0,-22.0,11.0,0.0
445,11.0,-22.0,11.0,0.0
446,11.0,-20.0,10.0,0.0
447,11.0,-22.0,11.0,0.0
448,11.0,-22.0,11.0,0.0
449,11.0,-22.0,11.0,0.0
450,11.0,-22.0,11.0,0.0
451,11.0,-22.0,11.0,0.0
452,11.0,-22.0,11.0,0.0
453,11.0,-36.0,10.0,0.0
454,11.0,-22.0,11.0,0.0
455,11.0,-22.0,11.0,0.0
456,11.0,-36.0,10.0,0.0
457,11.0,-22.0,11.0,0.0
458,11.0,-22.0,11.0,0.0
459,11.0,-22.0,11.0,0.0
460,11.0,-22.0,11.0,0.0
461,11.0,-22.0,11.0,0.0
462,11.0,-30.0,11.0,0.0
463,11.0,-22.0,11.0,0.0
